specialty,county_type,max_distance_miles,max_drive_minutes,max_wait_days,min_providers_per_1000
Primary Care,Urban,10,20,10,0.55
Primary Care,Suburban,15,30,10,0.55
Primary Care,Rural,30,60,14,0.45
OB/GYN,Urban,10,20,14,0.2
OB/GYN,Suburban,20,30,14,0.18
OB/GYN,Rural,45,75,21,0.12
Behavioral Health,Urban,10,20,10,0.3
Behavioral Health,Suburban,20,30,10,0.25
Behavioral Health,Rural,45,75,14,0.15
Cardiology,Urban,15,30,14,0.15
Cardiology,Suburban,30,45,14,0.12
Cardiology,Rural,60,90,21,0.08
Endocrinology,Urban,15,30,21,0.08
Endocrinology,Suburban,30,45,21,0.06
Endocrinology,Rural,70,100,30,0.03
Oncology,Urban,15,30,10,0.06
Oncology,Suburban,30,45,10,0.05
Oncology,Rural,75,100,14,0.02
Orthopedics,Urban,15,30,14,0.1
Orthopedics,Suburban,30,45,14,0.09
Orthopedics,Rural,60,90,21,0.05
Dermatology,Urban,15,30,21,0.09
Dermatology,Suburban,30,45,21,0.08
Dermatology,Rural,70,100,28,0.04
General Surgery,Urban,15,30,14,0.08
General Surgery,Suburban,30,45,14,0.07
General Surgery,Rural,60,90,21,0.04
Neurology,Urban,20,35,21,0.05
Neurology,Suburban,35,50,21,0.04
Neurology,Rural,80,110,30,0.02
